DimDate_DateKey,DimDate_FullDateAlternateKey,DimDate_DayNumberOfWeek,DimDate_DayNameOfWeek,DimDate_DayNumberOfMonth,DimDate_DayNumberOfYear,DimDate_WeekNumberOfYear,DimDate_MonthName,DimDate_MonthNumberOfYear,DimDate_CalendarQuarter,DimDate_CalendarYear,DimDate_CalendarSemester,DimDate_FiscalQuarter,DimDate_FiscalYear,DimDate_FiscalSemester
20070701,7/1/2007 0:00,1,Sunday,1,182,27,July,7,3,2007,2,1,2008,1
20070702,7/2/2007 0:00,2,Monday,2,183,27,July,7,3,2007,2,1,2008,1
20070703,7/3/2007 0:00,3,Tuesday,3,184,27,July,7,3,2007,2,1,2008,1
20070704,7/4/2007 0:00,4,Wednesday,4,185,27,July,7,3,2007,2,1,2008,1
20070705,7/5/2007 0:00,5,Thursday,5,186,27,July,7,3,2007,2,1,2008,1
20070706,7/6/2007 0:00,6,Friday,6,187,27,July,7,3,2007,2,1,2008,1
20070707,7/7/2007 0:00,7,Saturday,7,188,27,July,7,3,2007,2,1,2008,1
20070708,7/8/2007 0:00,1,Sunday,8,189,28,July,7,3,2007,2,1,2008,1
20070709,7/9/2007 0:00,2,Monday,9,190,28,July,7,3,2007,2,1,2008,1
20070710,7/10/2007 0:00,3,Tuesday,10,191,28,July,7,3,2007,2,1,2008,1
20070711,7/11/2007 0:00,4,Wednesday,11,192,28,July,7,3,2007,2,1,2008,1
20070712,7/12/2007 0:00,5,Thursday,12,193,28,July,7,3,2007,2,1,2008,1
20070713,7/13/2007 0:00,6,Friday,13,194,28,July,7,3,2007,2,1,2008,1
20070714,7/14/2007 0:00,7,Saturday,14,195,28,July,7,3,2007,2,1,2008,1
20070715,7/15/2007 0:00,1,Sunday,15,196,29,July,7,3,2007,2,1,2008,1
20070716,7/16/2007 0:00,2,Monday,16,197,29,July,7,3,2007,2,1,2008,1
20070717,7/17/2007 0:00,3,Tuesday,17,198,29,July,7,3,2007,2,1,2008,1
20070718,7/18/2007 0:00,4,Wednesday,18,199,29,July,7,3,2007,2,1,2008,1
20070719,7/19/2007 0:00,5,Thursday,19,200,29,July,7,3,2007,2,1,2008,1
20070720,7/20/2007 0:00,6,Friday,20,201,29,July,7,3,2007,2,1,2008,1
20070721,7/21/2007 0:00,7,Saturday,21,202,29,July,7,3,2007,2,1,2008,1
20070722,7/22/2007 0:00,1,Sunday,22,203,30,July,7,3,2007,2,1,2008,1
20070723,7/23/2007 0:00,2,Monday,23,204,30,July,7,3,2007,2,1,2008,1
20070724,7/24/2007 0:00,3,Tuesday,24,205,30,July,7,3,2007,2,1,2008,1
20070725,7/25/2007 0:00,4,Wednesday,25,206,30,July,7,3,2007,2,1,2008,1
20070726,7/26/2007 0:00,5,Thursday,26,207,30,July,7,3,2007,2,1,2008,1
20070727,7/27/2007 0:00,6,Friday,27,208,30,July,7,3,2007,2,1,2008,1
20070728,7/28/2007 0:00,7,Saturday,28,209,30,July,7,3,2007,2,1,2008,1
20070729,7/29/2007 0:00,1,Sunday,29,210,31,July,7,3,2007,2,1,2008,1
20070730,7/30/2007 0:00,2,Monday,30,211,31,July,7,3,2007,2,1,2008,1
20070731,7/31/2007 0:00,3,Tuesday,31,212,31,July,7,3,2007,2,1,2008,1
20070801,8/1/2007 0:00,4,Wednesday,1,213,31,August,8,3,2007,2,1,2008,1
20070802,8/2/2007 0:00,5,Thursday,2,214,31,August,8,3,2007,2,1,2008,1
20070803,8/3/2007 0:00,6,Friday,3,215,31,August,8,3,2007,2,1,2008,1
20070804,8/4/2007 0:00,7,Saturday,4,216,31,August,8,3,2007,2,1,2008,1
20070805,8/5/2007 0:00,1,Sunday,5,217,32,August,8,3,2007,2,1,2008,1
20070806,8/6/2007 0:00,2,Monday,6,218,32,August,8,3,2007,2,1,2008,1
20070807,8/7/2007 0:00,3,Tuesday,7,219,32,August,8,3,2007,2,1,2008,1
20070808,8/8/2007 0:00,4,Wednesday,8,220,32,August,8,3,2007,2,1,2008,1
