SalesOrderNumber|SurveyResponse
SO43675|My wife and I went nuts ordering everything we need to become bike enthusiasts.  Mr. Reiter was more than patient as we learned about all that was needed, although I am sure the size of our order helped.  He even threw in assembly.  We can't wait to try it out, everything looks like top quality.
SO43873|Linda continues to be a very supportive account manager for all my biking needs with your company's product line.  I do business with your company as a direct result of her professionalism and knowledge of the product line.
SO43902|I run a small specialty shop in a small mid-western town. The ability to quickly identify and order replacement parts as well as new bike models is critical to my business. Tete did a great job of guiding me through what to me is a large order in record time. Keep this one!
SO44098|Tsvi, one of your sales reps, couldn't spend a minute helping me find a bike that is right for my body type and riding style.  Everytime I asked him a question about a Road Frame he looked at me with blank stares and would say "bikes over there".  I wanted to know what the difference in color and sizes were but he didn't help.  He couldn't sell honey to bees.
SO44133|The bike frames were as-expected. I did my research via other stores before I purchased. The sports shorts fit well and were comfortable. The Long-sleeve logo jersey, however, irritated my nipples after a half hour of wear.  David was a great rep. He answered all my questions, and best of all, he didn't push add-on components that I didn't need. Thanks for the service.
SO44285|When it came to analyzing some women's mountain shorts, Ms Carson really was a big help.  
SO44288|We had a horrendous experience. The parts were sub-quality and some of them are outright dangerous. The jerseys we ordered (and we ordered many) were all flimsy and started to show signs of tearing apart after the very first time we used them. The gloves were advertised as water-proof, but THEY WERE NOT. The hydration pack had a hole in it - can you believe it? The helmet seems to be built of cheap plastic.  Experience with Tete was OK - he seemed pushy and just wanted to get done with us. Now we are dealing with the Amanda in the support to RETURN all the items and that is turning out to be another mess. We are never going to come back and shop here - it is better to buy from big brands who actually care a little about their reputation.
SO44294|I'd would be hard-pressed to recommend buying gloves from this bike shop.  Their prices were much higher than what I saw offered by a competitor, and after I informed them of this, they did not offer to match the lower price. 
SO44313|Jillian really knows her stuff!  She helped me find the bikes and accessories I needed, would buy again.
SO44314|I needed to quickly stock up on items for my next road race, and Jillian helped me get exactly what I needed.  Delivery was immediate and complete, and Jillian even called the day after to make sure I felt like a champion.  Great service!
SO44498|Jose was a great rep.  He pointed me to your website to learn more about the pedals I was buying, but the site was very slow.
